"Date","Team","Acquired","Relinquished","Notes"
"2021-04-14","Raptors","","• Gary Trent Jr.","placed on IL with sore right ankle"
"2021-04-14","Raptors","• Fred VanVleet","","activated from IL"
"2021-04-14","Raptors","• Paul Watson","","activated from IL"
"2021-04-14","Rockets","","• D.J. Augustine","placed on IL with sprained left ankle"
"2021-04-14","Rockets","• Danuel House","","activated from IL"
"2021-04-14","Thunder","","• Luguentz Dort","placed on IL with sore left shoulder"
"2021-04-15","Bucks","","• Donte DiVincenzo","placed on IL with toe injury"
"2021-04-15","Bucks","• Giannis Antetokounmpo","","activated from IL"
"2021-04-15","Bulls","","• Zach LaVine","placed on IL with NBA health and safety protocols"
"2021-04-15","Cavaliers","• Collin Sexton","","activated from IL"
"2021-04-12","Wizards","• Bradley Beal","","activated from IL"
"2021-04-12","Warriors","• Kelly Oubre Jr.","","activated from IL"
"2021-04-12","76ers","","• Anthony Tolliver","placed on IL with NBA health and safety protocols"
"2021-04-12","Warriors","","• Kelly Oubre Jr.","sore left wrist (DTD)"
"2021-04-13","Cavaliers","• Jarrett Allen","","activated from IL"
"2021-04-13","Cavaliers","• Larry Nance Jr.","","activated from IL"
"2021-04-13","Grizzlies","• Jontay Porter","","activated from IL"
"2021-04-13","Heat","• K.Z. Okpala","","activated from IL"
"2021-04-13","Hornets","","• P.J. Washington","placed on IL with sprained right ankle"
"2021-04-13","Hornets","","• Terry Rozier","placed on IL with left knee tendinitis"
"2021-04-13","Jazz","","• Joe Ingles","placed on IL with sore left knee"
"2021-04-13","Jazz","• Mike Conley Jr.","","returned to lineup"
"2021-04-13","Lakers","","• Markieff Morris","sprained left ankle (DTD)"
"2021-04-13","Lakers","• Alfonzo McKinnie","","activated from IL"
"2021-04-13","Mavericks","• Kristaps Porzingis","","activated from IL"
"2021-04-13","Nuggets","","• Jamal Murray","placed on IL with torn ACL in left knee"
"2021-04-13","Pistons","• Jerami Grant","","activated from IL"
"2021-04-13","Pistons","• Killian Hayes","","activated from IL"
"2021-04-13","Raptors","","• DeAndre' Bembry / DeAndre Bembry","placed on IL with right hamstring injury"
"2021-04-13","Thunder","","• Mike Muscala","placed on IL with sprained right ankle (out for season)"
"2021-04-13","Thunder","• Isaiah Roby","","activated from IL"
"2021-04-13","Thunder","• Josh Hall","","activated from IL"
"2021-04-14","76ers","","• Dwight Howard","sore left knee (DTD)"
"2021-04-14","76ers","• Anthony Tolliver","","activated from IL"
"2021-04-14","Bucks","• P.J. Tucker","","activated from IL"
"2021-04-11","Magic","","• Chuma Okeke","right hip injury (DTD)"
"2021-04-11","Mavericks","","• Maximilian Kleber / Maxi Kleber","right leg injury (DTD)"
"2021-04-11","Mavericks","• Willie Cauley-Stein","","activated from IL"
"2021-04-11","Nets","","• LaMarcus Aldridge","placed on IL with irregular heartbeat"
"2021-04-11","Pistons","","• Dennis Smith Jr.","placed on IL with left knee injury (out for season)"
"2021-04-11","Pistons","","• Killian Hayes","placed on IL with right hip injury"
"2021-04-11","Raptors","• Kyle Lowry","","activated from IL"
"2021-04-11","Rockets","","• Sterling Brown","placed on IL with sore left knee (out for season)"
"2021-04-11","Spurs","• Keita Bates-Diop","","activated from IL"
"2021-04-11","Timberwolves","• Jaylen Nowell","","activated from IL"
"2021-04-11","Warriors","","• James Wiseman","placed on IL with torn meniscus in right knee (out for season)"
"2021-04-12","Kings","","• Buddy Hield","placed on IL with illness"
"2021-04-12","Lakers","","• Alfonzo McKinnie","placed on IL with NBA health and safety protocols"
"2021-04-12","Lakers","• Kyle Kuzma","","activated from IL"
"2021-04-12","Lakers","• Marc Gasol","","activated from IL"
"2021-04-12","Lakers","• Wesley Matthews / Wes Matthews Jr.","","returned to lineup"
"2021-04-12","Magic","","• Gary Harris","placed on IL with strained left adductor"
"2021-04-12","Magic","• Chuma Okeke","","returned to lineup"
"2021-04-12","Magic","• Karim Mane","","activated from IL"
"2021-04-12","Mavericks","","• Kristaps Porzingis","placed on IL with right knee injury"
"2021-04-12","Mavericks","• J.J. Redick","","activated from IL"
"2021-04-12","Mavericks","• Maximilian Kleber / Maxi Kleber","","returned to lineup"
"2021-04-12","Nuggets","• Jamal Murray","","activated from IL"
"2021-04-12","Thunder","","• Aleksej Pokusevski","placed on IL with sore right arm"
"2021-04-12","Thunder","","• Gabriel Deck","placed on IL with NBA health and safety protocols"
"2021-04-10","Lakers","","• Wesley Matthews / Wes Matthews Jr.","right Achilles injury (DTD)"
"2021-04-10","Pistons","• Mason Plumlee","","activated from IL"
"2021-04-10","Raptors","• Rodney Hood","","activated from IL"
"2021-04-10","Rockets","• John Wall (Hildred)","","activated from IL"
"2021-04-10","Thunder","• Darius Bazley","","activated from IL"
"2021-04-10","Thunder","• Luguentz Dort","","activated from IL"
"2021-04-10","Warriors","","• Kelly Oubre Jr.","placed on IL with sore left wrist"
"2021-04-10","Warriors","• Juan Toscano-Anderson","","activated from IL"
"2021-04-10","Wizards","","• Bradley Beal","placed on IL with back injury"
"2021-04-10","Wizards","• Daniel Gafford","","activated from IL"
"2021-04-11","76ers","• Danny Green","","returned to lineup"
"2021-04-11","76ers","• Tobias Harris","","returned to lineup"
"2021-04-11","Bucks","• Brook Lopez","","returned to lineup"
"2021-04-11","Bucks","• Donte DiVincenzo","","returned to lineup"
"2021-04-11","Bucks","• Jrue Holiday","","returned to lineup"
"2021-04-11","Bucks","• Khris Middleton","","returned to lineup"
"2021-04-11","Cavaliers","","• Collin Sexton","placed on IL with strained left groin"
"2021-04-11","Cavaliers","","• Damyean Dotson","sore left knee (DTD)"
"2021-04-11","Cavaliers","","• Darius Garland","sprained right ankle (DTD)"
"2021-04-11","Clippers","","• Kawhi Leonard","placed on IL with sore right foot"
"2021-04-11","Clippers","• Rajon Rondo","","activated from IL"
"2021-04-11","Hawks","","• Danilo Gallinari","sore right foot (DTD)"
"2021-04-11","Hawks","","• Tony Snell","placed on IL with sprained right ankle"
"2021-04-11","Hawks","","• Trae Young","bruised left calf (DTD)"
"2021-04-11","Jazz","","• Mike Conley Jr.","right hamstring injury (DTD)"
"2021-04-09","Bucks","","• Khris Middleton","sore right knee (DTD)"
"2021-04-09","Celtics","• Kemba Walker","","activated from IL"
"2021-04-09","Clippers","","• Patrick Beverley","placed on IL with fractured left hand"
"2021-04-09","Clippers","","• Rajon Rondo","placed on IL with right adductor injury"
"2021-04-09","Grizzlies","","• Jontay Porter","placed on IL with sore right knee"
"2021-04-09","Grizzlies","• Brandon Clarke","","activated from IL"
"2021-04-09","Hawks","• Clint Capela","","activated from IL"
"2021-04-09","Hawks","• Danilo Gallinari","","returned to lineup"
"2021-04-09","Heat","","• Victor Oladipo","placed on IL with right knee injury (out for season)"
"2021-04-09","Nets","• Landry Shamet","","activated from IL"
"2021-04-09","Pacers","• Domantas Sabonis / Domas Sabonis","","activated from IL"
"2021-04-09","Pacers","• Malcolm Brogdon","","activated from IL"
"2021-04-09","Pelicans","","• Lonzo Ball","placed on IL with left hip flexor injury"
"2021-04-09","Pelicans","• Brandon Ingram","","activated from IL"
"2021-04-09","Pelicans","• Kira Lewis Jr.","","activated from IL"
"2021-04-09","Rockets","• Armoni Brooks","","activated from IL"
"2021-04-09","Spurs","","• Gorgui Dieng","placed on IL with sprained right shoulder"
"2021-04-09","Spurs","• Lonnie Walker IV","","activated from IL"
"2021-04-09","Warriors","","• Juan Toscano-Anderson","placed on IL with left elbow injury"
"2021-04-09","Raptors","• Patrick McCaw","","activated from IL"
"2021-04-09","Nuggets","","• Shaquille Harrison","placed on IL with NBA health and safety protocols"
"2021-04-10","76ers","","• Danny Green","sore left hip (DTD)"
"2021-04-10","76ers","","• Tobias Harris","sore right knee (DTD)"
"2021-04-10","Jazz","• Juwan Morgan","","activated from IL"
"2021-04-10","Lakers","","• Marc Gasol","placed on IL with left hamstring injury"
"2021-04-07","Pacers","","• Myles Turner","placed on IL with sprained left ankle"
"2021-04-07","Pistons","","• Jerami Grant","placed on IL with sore right knee"
"2021-04-07","Rockets","","• Danuel House","placed on IL with sprained right ankle"
"2021-04-07","Rockets","• John Wall (Hildred)","","returned to lineup"
"2021-04-07","Spurs","• Dejounte Murray","","returned to lineup"
"2021-04-07","Thunder","","• Darius Miller","strained left groin (DTD)"
"2021-04-07","Thunder","","• Isaiah Roby","placed on IL with concussion"
"2021-04-07","Wizards","• Bradley Beal","","activated from IL"
"2021-04-07","Wizards","• Rui Hachimura","","activated from IL"
"2021-04-08","Blazers","• Jusuf Nurkic","","returned to lineup"
"2021-04-08","Jazz","","• Jordan Clarkson","placed on IL with sprained right ankle"
"2021-04-08","Jazz","• Elijah Hughes","","activated from IL"
"2021-04-08","Lakers","","• Kyle Kuzma","placed on IL with strained left calf"
"2021-04-08","Lakers","• Andre Drummond","","activated from IL"
"2021-04-08","Magic","• Gary Harris","","activated from IL"
"2021-04-08","Mavericks","• Maximilian Kleber / Maxi Kleber","","returned to lineup"
"2021-04-08","Mavericks","• Trey Burke","","activated from IL"
"2021-04-08","Pistons","","• Mason Plumlee","placed on IL with concussion"
"2021-04-08","Pistons","• Jahlil Okafor","","activated from IL"
"2021-04-08","Pistons","• Killian Hayes","","activated from IL"
"2021-04-08","Rockets","","• John Wall (Hildred)","placed on IL with left Achilles injury"
"2021-04-08","Thunder","• Darius Miller","","returned to lineup"
"2021-04-09","Bucks","","• Brook Lopez","back injury (DTD)"
"2021-04-09","Bucks","","• Donte DiVincenzo","bruised right hip (DTD)"
"2021-04-09","Bucks","","• Jrue Holiday","bruised left knee (DTD)"
"2021-04-06","Lakers","• Wesley Matthews / Wes Matthews Jr.","","returned to lineup"
"2021-04-06","Nets","","• James Harden","placed on IL with strained right hamstring"
"2021-04-06","Nuggets","","• Jamal Murray","placed on IL with sore right knee"
"2021-04-06","Pacers","• Jeremy Lamb","","activated from IL"
"2021-04-06","Pelicans","","• Nickeil Alexander-Walker","placed on IL with high left ankle sprain"
"2021-04-06","Pelicans","• Zion Williamson","","activated from IL"
"2021-04-06","Pistons","","• Killian Hayes","placed on IL with right hip injury"
"2021-04-06","Pistons","• Mason Plumlee","","activated from IL"
"2021-04-06","Suns","• Frank Kaminsky","","activated from IL"
"2021-04-07","Bulls","• Daniel Theis","","activated from IL"
"2021-04-07","Celtics","","• Kemba Walker","placed on IL with left knee injury"
"2021-04-07","Celtics","• Tristan Thompson","","activated from IL"
"2021-04-07","Hawks","","• Clint Capela","placed on IL with left Achilles injury"
"2021-04-07","Hawks","","• Danilo Gallinari","sore left ankle (DTD)"
"2021-04-07","Knicks","","• John Henson","strained right calf (DTD)"
"2021-04-07","Magic","","• Karim Mane","placed on IL with right hamstring injury"
"2021-04-07","Magic","","• Otto Porter Jr.","placed on IL with left foot injury (out for season)"
"2021-04-07","Magic","• Cole Anthony","","activated from IL"
"2021-04-07","Magic","• Khem Birch","","returned to lineup"
"2021-04-07","Magic","• Michael Carter-Williams","","returned to lineup"
"2021-04-07","Mavericks","","• Maximilian Kleber / Maxi Kleber","right leg injury (DTD)"
"2021-04-07","Mavericks","","• Trey Burke","placed on IL with strained left calf"
"2021-04-07","Mavericks","• Kristaps Porzingis","","returned to lineup"
"2021-04-07","Nets","• Blake Griffin","","activated from IL"
"2021-04-07","Nets","• Kevin Durant","","activated from IL"
"2021-04-05","Mavericks","","• Trey Burke","strained left calf (DTD)"
"2021-04-05","Mavericks","• Josh Richardson","","returned to lineup"
"2021-04-05","Mavericks","• Maximilian Kleber / Maxi Kleber","","returned to lineup"
"2021-04-05","Nets","","• Blake Griffin","placed on IL with left knee injury"
"2021-04-05","Nets","","• Landry Shamet","placed on IL with sprained right ankle"
"2021-04-05","Nets","","• Tyler Johnson","placed on IL with sore right knee"
"2021-04-05","Nets","• James Harden","","activated from IL"
"2021-04-05","Pelicans","• Isaiah Thomas","","activated from IL"
"2021-04-05","Pistons","","• Mason Plumlee","placed on IL"
"2021-04-05","Raptors","","• Fred VanVleet","placed on IL with left hip flexor injury"
"2021-04-05","Rockets","","• Danuel House","sprained right ankle (DTD)"
"2021-04-05","Spurs","","• Dejounte Murray","sore right foot (DTD)"
"2021-04-05","Spurs","• Drew Eubanks","","returned to lineup"
"2021-04-05","Spurs","• Gorgui Dieng","","activated from IL"
"2021-04-05","Timberwolves","","• Jaylen Nowell","placed on IL with tibia injury"
"2021-04-05","Timberwolves","• D'Angelo Russell","","activated from IL"
"2021-04-05","Timberwolves","• Ricky Rubio","","returned to lineup"
"2021-04-06","76ers","• Tyrese Maxey","","returned to lineup"
"2021-04-06","Blazers","• Derrick Jones Jr.","","returned to lineup"
"2021-04-06","Bulls","","• Adam Mokoka","NBA health and safety protocols (DTD)"
"2021-04-06","Bulls","","• Devon Dotson","NBA health and safety protocols (DTD)"
"2021-04-06","Bulls","• Coby White","","activated from IL"
"2021-04-06","Celtics","","• Evan Fournier","placed on IL with NBA health and safety protocols"
"2021-04-06","Clippers","• Patrick Beverley","","activated from IL"
"2021-04-06","Grizzlies","","• Brandon Clarke","placed on IL with left calf injury"
"2021-04-04","Clippers","• Rajon Rondo","","activated from IL"
"2021-04-04","Hawks","• Danilo Gallinari","","returned to lineup"
"2021-04-04","Hawks","• Trae Young","","activated from IL"
"2021-04-04","Lakers","","• Wesley Matthews / Wes Matthews Jr.","strained neck (DTD)"
"2021-04-04","Nets","• Blake Griffin","","activated from IL"
"2021-04-04","Nuggets","• Monte Morris","","activated from IL"
"2021-04-04","Pelicans","","• Isaiah Thomas","placed on IL with NBA health and safety protocols"
"2021-04-04","Pelicans","","• Kira Lewis Jr.","placed on IL with strained right calf"
"2021-04-04","Pelicans","• Lonzo Ball","","activated from IL"
"2021-04-04","Thunder","","• Isaiah Roby","concussion (DTD)"
"2021-04-04","Thunder","","• Josh Hall","placed on IL with concussion"
"2021-04-04","Warriors","• Draymond Green","","returned to lineup"
"2021-04-04","Warriors","• Stephen Curry","","returned to lineup"
"2021-04-04","Rockets","• John Wall (Hildred)","","activated from IL"
"2021-04-04","Rockets","","• Armoni Brooks","placed on IL with NBA health and safety protocols"
"2021-04-04","Rockets","","• John Wall (Hildred)","left knee injury (DTD)"
"2021-04-05","76ers","• Joel Embiid","","activated from IL"
"2021-04-05","Blazers","","• Jusuf Nurkic","right knee inflammation (DTD)"
"2021-04-05","Bulls","","• Daniel Theis","placed on IL with NBA health and safety protocols"
"2021-04-05","Celtics","• Semi Ojeleye","","activated from IL"
"2021-04-05","Grizzlies","","• De'Anthony Melton","placed on IL with left leg injury"
"2021-04-05","Heat","• Andre Iguodala","","returned to lineup"
"2021-04-05","Jazz","• Mike Conley Jr.","","activated from IL"
"2021-04-05","Kings","• Hassan Whiteside","","activated from IL"
"2021-04-05","Mavericks","","• Kristaps Porzingis","sprained right wrist (DTD)"
"2021-04-03","Blazers","","• Keljin Blevins","placed on IL"
"2021-04-03","Blazers","• Nassir Little","","activated from IL"
"2021-04-03","Bucks","","• Giannis Antetokounmpo","placed on IL with sore left knee"
"2021-04-03","Cavaliers","","• Dylan Windler","placed on IL with surgery on left knee (out for season)"
"2021-04-03","Celtics","• Romeo Langford","","activated from IL"
"2021-04-03","Heat","","• Andre Iguodala","sore left hip (DTD)"
"2021-04-03","Hornets","","• Gordon Hayward","placed on IL with sprained right foot"
"2021-04-03","Jazz","","• Elijah Hughes","placed on IL with illness"
"2021-04-03","Jazz","","• Mike Conley Jr.","placed on IL with right hamstring injury"
"2021-04-03","Magic","","• Khem Birch","illness (DTD)"
"2021-04-03","Magic","","• Otto Porter Jr.","left foot injury (out for season)"
"2021-04-03","Mavericks","","• Josh Richardson","left calf injury (DTD)"
"2021-04-03","Mavericks","","• Kristaps Porzingis","right knee injury (DTD)"
"2021-04-03","Mavericks","","• Maximilian Kleber / Maxi Kleber","bruised left leg (DTD)"
"2021-04-03","Pacers","","• Domantas Sabonis / Domas Sabonis","placed on IL with sprained left ankle"
"2021-04-03","Pacers","","• Malcolm Brogdon","placed on IL with right hip injury"
"2021-04-03","Pelicans","• Steven Adams","","returned to lineup"
"2021-04-03","Pistons","• Killian Hayes","","activated from IL"
"2021-04-03","Spurs","","• Drew Eubanks","migraine headache (DTD)"
"2021-04-03","Timberwolves","","• Malik Beasley","placed on IL with left hamstring injury (out for season)"
"2021-04-03","Warriors","","• Eric Paschall","placed on IL with left hip flexor injury"
"2021-04-03","Wizards","","• Rui Hachimura","placed on IL with right shoulder injury"
"2021-04-04","76ers","","• Joel Embiid","placed on IL with left knee injury"
"2021-04-04","76ers","","• Tyrese Maxey","NBA health and safety protocols (DTD)"
"2021-04-04","Bulls","","• Coby White","placed on IL with NBA health and safety protocols"
"2021-04-02","Bulls","• Coby White","","activated from IL"
"2021-04-02","Bulls","• Zach LaVine","","activated from IL"
"2021-04-02","Grizzlies","• Grayson Allen","","activated from IL"
"2021-04-02","Hawks","","• Danilo Gallinari","left Achilles injury (DTD)"
"2021-04-02","Hawks","","• Trae Young","placed on IL with sore left knee"
"2021-04-02","Heat","• Goran Dragic","","activated from IL"
"2021-04-02","Hornets","","• Malik Monk","placed on IL with sore right foot / sprained right ankle"
"2021-04-02","Knicks","• Derrick Rose","","activated from IL"
"2021-04-02","Pacers","","• Malcolm Brogdon","right hip injury (DTD)"
"2021-04-02","Pelicans","","• Josh Hart","placed on IL with right thumb injury (out for season)"
"2021-04-02","Pelicans","","• Steven Adams","sore right ankle (DTD)"
"2021-04-02","Pistons","• Hamidou Diallo","","activated from IL"
"2021-04-02","Pistons","• placed on IL with torn labrum in right hip","","activated from IL"
"2021-04-02","Raptors","","• Kyle Lowry","placed on IL with right foot injury"
"2021-04-02","Raptors","","• Rodney Hood","placed on IL with right hip flexor injury"
"2021-04-02","Thunder","• Ty Jerome","","returned to lineup"
"2021-04-02","Timberwolves","","• Ricky Rubio","back spasms (DTD)"
"2021-04-02","Timberwolves","• Josh Okogie","","activated from IL"
"2021-04-02","Warriors","","• Draymond Green","finger injury (DTD)"
"2021-04-02","Warriors","","• Stephen Curry","bruised tailbone (DTD)"
"2021-04-02","Warriors","• Eric Paschall","","activated from IL"
"2021-04-02","Wizards","• Davis Bertans","","activated from IL"
"2021-04-02","Wizards","• Ishmael Smith / Ish Smith","","activated from IL"
"2021-04-03","76ers","• Joel Embiid","","activated from IL"
"2021-04-03","Blazers","","• Derrick Jones Jr.","bruised right quadriceps (DTD)"
"2021-04-01","Clippers","• Paul George","","activated from IL"
"2021-04-01","Heat","","• Goran Dragic","placed on IL with lower back spasms"
"2021-04-01","Heat","• Kendrick Nunn","","returned to lineup"
"2021-04-01","Heat","• Udonis Haslem","","returned to lineup"
"2021-04-01","Heat","• Victor Oladipo","","returned to lineup"
"2021-04-01","Heat","• Victor Oladipo","","activated from IL"
"2021-04-01","Hornets","• Malik Monk","","returned to lineup"
"2021-04-01","Lakers","","• Andre Drummond","placed on IL with right big toe injury"
"2021-04-01","Magic","","• Michael Carter-Williams","illness (DTD)"
"2021-04-01","Nets","","• Blake Griffin","placed on IL with left knee injury"
"2021-04-01","Nets","","• James Harden","placed on IL with right hamstring injury"
"2021-04-01","Nets","• LaMarcus Aldridge","","activated from IL"
"2021-04-01","Nets","• Landry Shamet","","activated from IL"
"2021-04-01","Pelicans","","• Brandon Ingram","placed on IL with right toe inflammation"
"2021-04-01","Pelicans","","• Zion Williamson","placed on IL with sprained right thumb"
"2021-04-01","Pistons","","• Hamidou Diallo","placed on IL with right groin injury"
"2021-04-01","Pistons","• Dennis Smith Jr.","","activated from IL"
"2021-04-01","Pistons","• Sekou Doumbouya","","activated from IL"
"2021-04-01","Pistons","• Wayne Ellington","","returned to lineup"
"2021-04-01","Raptors","• DeAndre' Bembry / DeAndre Bembry","","activated from IL"
"2021-04-01","Spurs","","• Gorgui Dieng","placed on IL with sprained right shoulder"
"2021-04-01","Thunder","• Aleksej Pokusevski","","activated from IL"
"2021-04-01","Wizards","• Raulzinho Neto / Raul Neto","","activated from IL"
"2021-04-02","Blazers","• Keljin Blevins","","activated from IL"
"2021-04-02","Bucks","• Bobby Portis","","activated from IL"
"2021-03-31","Bulls","","• Garrett Temple","placed on IL with strained right hamstring"
"2021-03-31","Bulls","","• Zach LaVine","placed on IL with sprained right ankle"
"2021-03-31","Celtics","","• Robert Williams III","illness (DTD)"
"2021-03-31","Celtics","• Jaylen Brown","","activated from IL"
"2021-03-31","Grizzlies","","• Grayson Allen","placed on IL with sore left hip"
"2021-03-31","Hawks","","• John Collins (Martin)","placed on IL with sprained left ankle"
"2021-03-31","Kings","• Jahmi'us Ramsey","","activated from IL"
"2021-03-31","Knicks","","• Derrick Rose","placed on IL with sore left ankle"
"2021-03-31","Pacers","","• Jeremy Lamb","placed on IL with toe injury"
"2021-03-31","Pacers","• Doug McDermott","","activated from IL"
"2021-03-31","Pistons","","• Sekou Doumbouya","placed on IL with migraine headache"
"2021-03-31","Pistons","","• Wayne Ellington","right calf injury (DTD)"
"2021-03-31","Raptors","","• Kyle Lowry","right foot injury (DTD)"
"2021-03-31","Rockets","","• John Wall (Hildred)","placed on IL with left knee injury"
"2021-03-31","Rockets","• Christian Wood","","activated from IL"
"2021-03-31","Spurs","• Gorgui Dieng","","activated from IL"
"2021-03-31","Thunder","","• Aleksej Pokusevski","placed on IL with NBA health and safety protocols"
"2021-03-31","Thunder","","• Ty Jerome","sprained right ankle (DTD)"
"2021-04-01","Bucks","• Rodions Kurucs","","activated from IL"
"2021-04-01","Cavaliers","","• Quinn Cook","player became a free agent"
"2021-04-01","Cavaliers","• Kevin Love","","activated from IL"
"2021-04-01","Cavaliers","• Matthew Dellavedova","","activated from IL"
"2021-04-01","Celtics","• Robert Williams III","","returned to lineup"
"2021-04-01","Clippers","","• Patrick Beverley","placed on IL with sore right knee"
"2021-04-01","Clippers","• Marcus Morris","","returned to lineup"
"2021-03-29","Pistons","","• Sekou Doumbouya","migraine headache (DTD)"
"2021-03-29","Pistons","• Hamidou Diallo","","activated from IL"
"2021-03-29","Raptors","• Kyle Lowry","","activated from IL"
"2021-03-29","Rockets","• Avery Bradley","","activated from IL"
"2021-03-29","Spurs","","• Lonnie Walker IV","placed on IL with right wrist injury"
"2021-03-29","Thunder","• Tony Bradley","","activated from IL"
"2021-03-29","Warriors","","• Eric Paschall","placed on IL with sore left wrist"
"2021-03-29","Warriors","• Stephen Curry","","activated from IL"
"2021-03-29","Wizards","","• Bradley Beal","placed on IL with bruised right hip"
"2021-03-29","Rockets","• Christian Wood","","returned to lineup"
"2021-03-29","Rockets","","• Christian Wood","placed on IL with illness"
"2021-03-29","Spurs","","• Gorgui Dieng","placed on IL"
"2021-03-30","76ers","• Ignas Brazdeikis / Iggy Brazdeikis","","activated from IL"
"2021-03-30","Clippers","","• Marcus Morris","right calf injury (DTD)"
"2021-03-30","Clippers","","• Paul George","placed on IL with sore right foot"
"2021-03-30","Hawks","• Louis Williams / Lou Williams","","activated from IL"
"2021-03-30","Magic","","• Karim Mane","right hamstring injury (DTD)"
"2021-03-30","Magic","• Terrence Ross","","activated from IL"
"2021-03-30","Nuggets","• Gary Clark Jr.","","activated from IL"
"2021-03-30","Nuggets","• Greg Whittington","","activated from IL"
"2021-03-30","Spurs","","• Trey Lyles","placed on IL with sprained right ankle (out for season)"
"2021-03-30","Suns","","• Frank Kaminsky","placed on IL with NBA health and safety protocols"
"2021-03-30","Wizards","","• Daniel Gafford","placed on IL with sprained right ankle"
"2021-03-30","Wizards","","• Raulzinho Neto / Raul Neto","placed on IL with rib injury"
"2021-03-31","Blazers","","• Keljin Blevins","placed on IL"
"2021-03-28","Magic","• Wendell Carter Jr.","","activated from IL"
"2021-03-28","Mavericks","• Kristaps Porzingis","","returned to lineup"
"2021-03-28","Mavericks","• Luka Doncic","","activated from IL"
"2021-03-28","Nuggets","• Aaron Gordon","","activated from IL"
"2021-03-28","Nuggets","• JaVale McGee","","activated from IL"
"2021-03-28","Raptors","","• Jalen Harris","placed on IL with right hip pointer"
"2021-03-28","Raptors","","• Kyle Lowry","placed on IL with sore right foot"
"2021-03-28","Thunder","","• Luguentz Dort","placed on IL with concussion"
"2021-03-28","Knicks","• Terrance Ferguson","","activated from IL"
"2021-03-28","Spurs","• Marquese Chriss","","activated from IL"
"2021-03-29","Bulls","","• Coby White","placed on IL with cervical injury"
"2021-03-29","Cavaliers","","• Larry Nance Jr.","placed on IL with illness"
"2021-03-29","Cavaliers","• Taurean Prince","","activated from IL"
"2021-03-29","Celtics","","• Jaylen Brown","placed on IL with bruised left hip"
"2021-03-29","Celtics","• Evan Fournier","","activated from IL"
"2021-03-29","Celtics","• Kemba Walker","","activated from IL"
"2021-03-29","Clippers","","• Paul George","sore right foot (DTD)"
"2021-03-29","Grizzlies","","• Justise Winslow","placed on IL with right thigh injury"
"2021-03-29","Heat","• Goran Dragic","","returned to lineup"
"2021-03-29","Jazz","","• Juwan Morgan","placed on IL with left calf injury"
"2021-03-29","Knicks","• Julius Randle","","activated from IL"
"2021-03-29","Knicks","• Reggie Bullock","","activated from IL"
"2021-03-29","Nets","","• LaMarcus Aldridge","placed on IL with conditioning"
"2021-03-29","Pacers","","• Doug McDermott","placed on IL with sprained right ankle"
"2021-03-29","Pelicans","• Jaxson Hayes","","activated from IL"
"2021-03-27","Pelicans","• James Johnson","","activated from IL"
"2021-03-27","Pelicans","• Wesley Iwundu / Wes Iwundu","","activated from IL"
"2021-03-27","Pistons","","• Hamidou Diallo","placed on IL with right groin injury"
"2021-03-27","Pistons","","• Rodney McGruder","placed on IL with sprained right elbow (out for season)"
"2021-03-27","Rockets","","• Christian Wood","sore right ankle (DTD)"
"2021-03-27","Rockets","• Kelly Olynyk","","activated from IL"
"2021-03-27","Rockets","• Kevin Porter Jr.","","returned to lineup"
"2021-03-27","Thunder","","• Mike Muscala","sprained right ankle (out for season)"
"2021-03-27","Thunder","","• Tony Bradley","placed on IL with NBA health and safety protocols"
"2021-03-27","Thunder","• Josh Hall","","activated from IL"
"2021-03-27","Magic","• Jeff Teague","","activated from IL"
"2021-03-28","Blazers","• Damian Lillard","","activated from IL"
"2021-03-28","Bucks","• Donte DiVincenzo","","returned to lineup"
"2021-03-28","Bucks","• Giannis Antetokounmpo","","returned to lineup"
"2021-03-28","Bucks","• Jrue Holiday","","returned to lineup"
"2021-03-28","Bucks","• Khris Middleton","","returned to lineup"
"2021-03-28","Heat","","• Kendrick Nunn","sprained right ankle (DTD)"
"2021-03-28","Heat","","• Victor Oladipo","head cold (DTD)"
"2021-03-28","Heat","• Nemanja Bjelica","","returned to lineup"
"2021-03-28","Hornets","","• Malik Monk","sore right foot (DTD)"
"2021-03-28","Jazz","• Mike Conley Jr.","","activated from IL"
"2021-03-28","Kings","","• Hassan Whiteside","placed on IL with sore right knee"
"2021-03-28","Knicks","","• Mitchell Robinson","fractured right foot (out indefinitely)"
"2021-03-28","Magic","• Otto Porter Jr.","","activated from IL"
"2021-03-28","Magic","• R.J. Hampton","","activated from IL"
"2021-03-26","Warriors","• Draymond Green","","returned to lineup"
"2021-03-27","Blazers","","• Nassir Little","placed on IL with sprained right thumb"
"2021-03-27","Bucks","","• Donte DiVincenzo","left foot injury (DTD)"
"2021-03-27","Bucks","","• Giannis Antetokounmpo","sprained left knee (DTD)"
"2021-03-27","Bucks","","• Jrue Holiday","bruised left knee (DTD)"
"2021-03-27","Bucks","","• Khris Middleton","bruised left hip (DTD)"
"2021-03-27","Cavaliers","","• Jarrett Allen","placed on IL with concussion"
"2021-03-27","Cavaliers","• Collin Sexton","","activated from IL"
"2021-03-27","Cavaliers","• Isaiah Hartenstein","","activated from IL"
"2021-03-27","Celtics","","• Kemba Walker","placed on IL with left knee injury"
"2021-03-27","Clippers","","• Rajon Rondo","placed on IL with right adductor injury"
"2021-03-27","Clippers","• Kawhi Leonard","","returned to lineup"
"2021-03-27","Clippers","• Marcus Morris","","returned to lineup"
